😀	emoji grinning face
🫲🏿	emoji leftwards hand: dark skin tone
🫳	emoji palm down hand
🫳🏻	emoji palm down hand: light skin tone
🫳🏼	emoji palm down hand: medium-light skin tone
🫳🏽	emoji palm down hand: medium skin tone
🫳🏾	emoji palm down hand: medium-dark skin tone
🫳🏿	emoji palm down hand: dark skin tone
🫴	emoji palm up hand
🫴🏻	emoji palm up hand: light skin tone
🫴🏼	emoji palm up hand: medium-light skin tone
🫴🏽	emoji palm up hand: medium skin tone
🫴🏾	emoji palm up hand: medium-dark skin tone
🫴🏿	emoji palm up hand: dark skin tone
🫷	emoji leftwards pushing hand
🫷🏻	emoji leftwards pushing hand: light skin tone
🫷🏼	emoji leftwards pushing hand: medium-light skin tone
🫷🏽	emoji leftwards pushing hand: medium skin tone
🫷🏾	emoji leftwards pushing hand: medium-dark skin tone
🫷🏿	emoji leftwards pushing hand: dark skin tone
🫸	emoji rightwards pushing hand
🫸🏻	emoji rightwards pushing hand: light skin tone
🫸🏼	emoji rightwards pushing hand: medium-light skin tone
🫸🏽	emoji rightwards pushing hand: medium skin tone
🫸🏾	emoji rightwards pushing hand: medium-dark skin tone
🫸🏿	emoji rightwards pushing hand: dark skin tone
👌	emoji OK hand
👌🏻	emoji OK hand: light skin tone
👌🏼	emoji OK hand: medium-light skin tone
👌🏽	emoji OK hand: medium skin tone
👌🏾	emoji OK hand: medium-dark skin tone
👌🏿	emoji OK hand: dark skin tone
🤌	emoji pinched fingers
🤌🏻	emoji pinched fingers: light skin tone
🤌🏼	emoji pinched fingers: medium-light skin tone
🤌🏽	emoji pinched fingers: medium skin tone
🤌🏾	emoji pinched fingers: medium-dark skin tone
🤌🏿	emoji pinched fingers: dark skin tone
🤏	emoji pinching hand
🤏🏻	emoji pinching hand: light skin tone
🤏🏼	emoji pinching hand: medium-light skin tone
🤏🏽	emoji pinching hand: medium skin tone
🤏🏾	emoji pinching hand: medium-dark skin tone
🤏🏿	emoji pinching hand: dark skin tone
✌️	emoji victory hand
✌🏻	emoji victory hand: light skin tone
✌🏼	emoji victory hand: medium-light skin tone
✌🏽	emoji victory hand: medium skin tone
✌🏾	emoji victory hand: medium-dark skin tone
✌🏿	emoji victory hand: dark skin tone
🤞	emoji crossed fingers
🤞🏻	emoji crossed fingers: light skin tone
🤞🏼	emoji crossed fingers: medium-light skin tone
🤞🏽	emoji crossed fingers: medium skin tone
🤞🏾	emoji crossed fingers: medium-dark skin tone
🤞🏿	emoji crossed fingers: dark skin tone
🫰	emoji hand with index finger and thumb crossed
🫰🏻	emoji hand with index finger and thumb crossed: light skin tone
🫰🏼	emoji hand with index finger and thumb crossed: medium-light skin tone
🫰🏽	emoji hand with index finger and thumb crossed: medium skin tone
🫰🏾	emoji hand with index finger and thumb crossed: medium-dark skin tone
🫰🏿	emoji hand with index finger and thumb crossed: dark skin tone
🤟	emoji love-you gesture
🤟🏻	emoji love-you gesture: light skin tone
🤟🏼	emoji love-you gesture: medium-light skin tone
🤟🏽	emoji love-you gesture: medium skin tone
